Date,BHEDGE,BHEQLS,BHDL,BHMACR,BHCBA,BHSTA,BHEQMS,BHFEMN,BHEQTY,BHMMS,USGG1M
1/31/2014,994.23,992.9,1005.51,989.1,1008.1,992.47,990.16,1001.86,991.14,989.55,0.03
2/28/2014,1012.37,1017.1,1013.44,1002.91,1017.93,1002.58,1012.77,1011.26,1016.43,999,0.04
3/31/2014,1008.55,1009.54,1020.17,993.89,1026.4,1000.96,1007.2,1011.36,1011.26,1001,0.02
4/30/2014,1006.27,1001.82,1025.72,994.63,1027.8,999.61,1008.75,1004.63,1004.38,997.4,0.02
5/30/2014,1016.41,1012.89,1031.8,1005.54,1033.75,1007.77,1018.77,1010.06,1015.65,1004.22,0.04
6/30/2014,1027.46,1026.58,1038.25,1013.68,1040.4,1008.7,1031.68,1018.54,1031.69,1012.99,0.01
7/31/2014,1023.78,1019.68,1040.57,1012.07,1039.18,999.83,1035.23,1015.95,1025.68,1017.3,0
8/29/2014,1036.99,1033.93,1047.95,1029.88,1043.2,1009.66,1047.17,1020.54,1042.84,1022.87,0.01
9/30/2014,1029.66,1017.59,1053.68,1040.57,1036.62,999.15,1037.78,1013.77,1023.9,1036.71,0.01
10/31/2014,1027.1,1015.63,1062.87,1038.12,1027.53,998.75,1029.73,1009.21,1022.62,1040.59,-0.01
11/28/2014,1036.68,1020.32,1069.81,1066.94,1030.58,1000.85,1030.38,1012.69,1027.27,1053.55,0.04
12/31/2014,1034.33,1016.8,1076.11,1071.07,1026.98,996.55,1025.46,1010.93,1021.46,1050.11,0.01
1/30/2015,1039.05,1014.02,1083.14,1095.15,1026.31,997.33,1033.52,1017.67,1017.66,1056.49,0.01
2/27/2015,1057.9,1040.64,1091.16,1101.93,1040.88,1019.81,1054.55,1031.17,1045.14,1071.33,0.02
3/31/2015,1064.03,1047.09,1097.67,1109.46,1045.49,1023.52,1059.91,1039.84,1049.82,1079.38,0.01
4/30/2015,1075.2,1069.63,1103.33,1097.76,1055.9,1018.29,1059.87,1047.51,1074.87,1078.37,-0.02
5/29/2015,1081.19,1080.59,1110.37,1095.29,1063.1,1027.43,1070.48,1055.56,1084.87,1087.95,0
